station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
SCM,4,10,0.01,rbf,0.9504528479795535,0.012298970200015859,5,0.34422190189361573
SCM,4,10,0.001,rbf,0.9367619508442824,0.015698128537405136,9,0.6334577083587647
SCM,4,100,scale,rbf,0.9526941353084949,0.009676377802174282,4,0.49882025718688966
SCM,4,100,0.01,rbf,0.9534391632858152,0.012027254163403316,3,0.3528939962387085
SCM,4,100,0.001,rbf,0.9477134278731032,0.012972676615822248,7,0.4080106019973755
SCM,4,1000,scale,rbf,0.9457215171027654,0.01228573611662285,8,2.104631471633911
SCM,4,1000,0.01,rbf,0.9559310678527562,0.00934683467132131,1,0.814593505859375
SCM,4,1000,0.001,rbf,0.9484603168695177,0.01316218640126079,6,0.39611380100250243
SCM,5,10,scale,rbf,0.9499528541829505,0.013691433998256876,4,0.29889354705810545
SCM,5,10,0.01,rbf,0.9492103075644222,0.012720529869266578,5,0.32632124423980713
SCM,5,10,0.001,rbf,0.9332806044590016,0.012598797508046483,9,0.5786016941070556
SCM,5,100,scale,rbf,0.9516960087343829,0.013945823086491452,2,0.5473580598831177
SCM,5,100,0.01,rbf,0.9502047121003461,0.0138820438853694,3,0.3623387813568115
SCM,5,100,0.001,rbf,0.9437376707485019,0.015064984293615306,8,0.47427029609680177
SCM,5,1000,scale,rbf,0.9464696467785758,0.01434100176133411,7,2.3478437423706056
SCM,5,1000,0.01,rbf,0.9524472401086834,0.013347604439435518,1,0.7680781364440918
SCM,5,1000,0.001,rbf,0.9472202578131783,0.01358958505929046,6,0.46345336437225343
SCM,6,10,scale,rbf,0.9527034404039652,0.008682082161880435,1,0.5032193422317505
SCM,6,10,0.01,rbf,0.9499652609769111,0.008778223221485542,6,0.4734359264373779
SCM,6,10,0.001,rbf,0.9335392861130755,0.010161426777308214,9,0.7929576635360718
SCM,6,100,scale,rbf,0.9524577858835499,0.011619636005289096,2,0.6690335035324096
SCM,6,100,0.01,rbf,0.9522034466073623,0.007277036518626457,3,0.46767334938049315
SCM,6,100,0.001,rbf,0.9457351645761218,0.012657625658240832,8,0.519918417930603
SCM,6,1000,scale,rbf,0.9499652609769111,0.010572794015953228,6,2.785623049736023
SCM,6,1000,0.01,rbf,0.9504621530750239,0.008048285042646408,5,1.0308242321014405
