station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
M23K,4,1000,scale,rbf,0.9187400318979266,0.018944377548888152,6,0.6491073131561279
M23K,4,1000,0.01,rbf,0.9307587149692413,0.015792432398339898,3,0.2638888120651245
M23K,4,1000,0.001,rbf,0.9202323991797675,0.016923471465177163,5,0.17252066135406494
M23K,5,10,scale,rbf,0.9337605377079063,0.022105263422090387,3,0.12403082847595215
M23K,5,10,0.01,rbf,0.926224652540442,0.02167660872293994,6,0.10985805988311767
M23K,5,10,0.001,rbf,0.8870984278879016,0.03444986671885321,9,0.13772754669189452
M23K,5,100,scale,rbf,0.9322624743677373,0.016222646117615966,4,0.18983776569366456
M23K,5,100,0.01,rbf,0.9390293916609705,0.019551261988919662,2,0.15814449787139892
M23K,5,100,0.001,rbf,0.9217133743449532,0.02513694741341306,8,0.19743335247039795
M23K,5,1000,scale,rbf,0.925501253132832,0.01665877382973887,7,0.4596852779388428
M23K,5,1000,0.01,rbf,0.9397755753018912,0.020313777194756414,1,0.19982199668884276
M23K,5,1000,0.001,rbf,0.9269822282980178,0.02485939513689517,5,0.0854865312576294
M23K,6,10,scale,rbf,0.9307587149692411,0.022820078888646036,2,0.0765397310256958
M23K,6,10,0.01,rbf,0.9239917976760081,0.02416014144477632,5,0.09410548210144043
M23K,6,10,0.001,rbf,0.8856003645477329,0.03337831080437035,9,0.08357353210449218
M23K,6,100,scale,rbf,0.926270221007063,0.024638849254202767,4,0.09325370788574219
M23K,6,100,0.01,rbf,0.9292606516290727,0.019988254319456056,3,0.06561822891235351
M23K,6,100,0.001,rbf,0.9126908179539758,0.023475014750281503,8,0.07718565464019775
M23K,6,1000,scale,rbf,0.9187457279562542,0.02553721841190917,7,0.27534654140472414
M23K,6,1000,0.01,rbf,0.9322624743677375,0.02262556967679787,1,0.16382505893707275
M23K,6,1000,0.001,rbf,0.9232513100934152,0.018957936881145342,6,0.08770503997802734
M23K,7,10,scale,rbf,0.9390578719526088,0.013614185936338306,1,0.06662178039550781
M23K,7,10,0.01,rbf,0.9270221007063112,0.017776389658151644,6,0.07107911109924317
M23K,7,10,0.001,rbf,0.8954203691045794,0.020804388111821507,9,0.08180251121520996
M23K,7,100,scale,rbf,0.9330428343586238,0.02027302699391666,4,0.10792257785797119
M23K,7,100,0.01,rbf,0.9375598086124401,0.018705456611485295,3,0.0859750747680664
M23K,7,100,0.001,rbf,0.9194976076555024,0.016450943233847704,8,0.10559816360473633
M23K,7,1000,scale,rbf,0.9247721576668946,0.0260115984051127,7,0.2488696813583374
M23K,7,1000,0.01,rbf,0.9383116883116884,0.023705308600705213,2,0.14683403968811035
M23K,7,1000,0.001,rbf,0.9270334928229664,0.021499749332676066,5,0.0665442943572998
M23K,8,10,scale,rbf,0.9338345864661652,0.02250620984525678,1,0.0629690408706665
M23K,8,10,0.01,rbf,0.9240601503759398,0.0310827467798412,7,0.07200276851654053
M23K,8,10,0.001,rbf,0.8917293233082708,0.026519085847441188,9,0.09078657627105713
