station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
FID,1,3001,334,0.9491017964071856,0.9508500435919792,0.935483870967742,0.9662162162162162,0.9720670391061452,0.9534246575342464,143,5,12,174,0.964344407530454,100,0.01,rbf,47.03748260199973
FID,2,3001,334,0.9730538922155688,0.9711046617086884,0.9891891891891892,0.953020134228188,0.963157894736842,0.976,142,7,2,183,0.9626810631229236,100,0.01,rbf,40.639745906000826
FID,3,3001,334,0.9730538922155688,0.974369671685108,0.9621621621621622,0.9865771812080536,0.9888888888888888,0.9753424657534246,147,2,7,178,0.96334772978959,1000,0.01,rbf,39.98668880399964
FID,4,3001,334,0.9670658682634732,0.9683112642844188,0.9567567567567568,0.9798657718120806,0.9833333333333332,0.96986301369863,146,3,8,177,0.9630121816168328,1000,0.01,rbf,36.79940270000043
FID,5,3001,334,0.9550898203592816,0.95619444948304,0.945945945945946,0.9664429530201344,0.9722222222222222,0.958904109589041,144,5,10,175,0.9653466223698782,10,scale,rbf,30.659100117998605
FID,6,3002,333,0.957957957957958,0.958108108108108,0.9567567567567568,0.9594594594594594,0.9672131147540984,0.9619565217391304,142,6,8,177,0.9646910299003324,1000,0.01,rbf,45.23493583400159
FID,7,3002,333,0.9669669669669668,0.9675675675675676,0.9621621621621622,0.972972972972973,0.978021978021978,0.9700272479564032,144,4,7,178,0.963361018826135,100,0.01,rbf,25.831611345000056
FID,8,3002,333,0.963963963963964,0.962837837837838,0.972972972972973,0.9527027027027029,0.962566844919786,0.967741935483871,141,7,5,180,0.962358803986711,10,scale,rbf,28.70792905100097
FID,9,3002,333,0.951951951951952,0.954054054054054,0.9351351351351352,0.972972972972973,0.9774011299435028,0.9558011049723756,144,4,12,173,0.9660199335548174,100,0.01,rbf,22.43829942000048
FID,10,3002,333,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9782608695652174,0.975609756097561,144,4,5,180,0.962358803986711,1000,0.01,rbf,25.3806457110004
GLI,1,3778,420,0.9452380952380952,0.946078431372549,0.9166666666666666,0.9754901960784312,0.9753694581280788,0.9451073985680192,199,5,18,198,0.957915456191318,1000,0.01,rbf,36.30223955399924
GLI,2,3778,420,0.9666666666666668,0.966761202495746,0.9627906976744186,0.9707317073170731,0.971830985915493,0.9672897196261684,199,6,8,207,0.9542096473130957,1000,0.01,rbf,29.447064206000505
GLI,3,3778,420,0.9452380952380952,0.945377197958026,0.9395348837209302,0.951219512195122,0.9528301886792452,0.9461358313817332,195,10,13,202,0.957383548762859,1000,0.01,rbf,30.256240177999643
GLI,4,3778,420,0.9571428571428572,0.9572319909245603,0.9534883720930232,0.9609756097560976,0.9624413145539906,0.9579439252336448,197,8,10,205,0.9555295917364884,1000,0.01,rbf,31.980862229000195
GLI,5,3778,420,0.9642857142857144,0.9640952921157118,0.972093023255814,0.9560975609756096,0.9587155963302753,0.9653579676674364,196,9,6,209,0.9579133510167992,1000,0.01,rbf,31.13039129199933
GLI,6,3778,420,0.9523809523809524,0.953034600113443,0.9255813953488372,0.9804878048780488,0.9802955665024632,0.9521531100478468,201,4,16,199,0.9563267511543374,10,scale,rbf,31.39572128200052
GLI,7,3778,420,0.9428571428571428,0.9433919455473624,0.9209302325581395,0.9658536585365852,0.9658536585365852,0.9428571428571428,198,7,17,198,0.9579112458422804,1000,0.01,rbf,30.776131459999306
GLI,8,3778,420,0.9547619047619048,0.9547929665343164,0.9534883720930232,0.9560975609756096,0.9579439252336448,0.9557109557109555,196,9,10,205,0.9560614991649474,100,scale,rbf,30.41786333300115
GLI,9,3779,419,0.9403341288782816,0.9402302781577748,0.944186046511628,0.9362745098039216,0.9398148148148148,0.9419953596287703,191,13,12,203,0.9581884271539444,1000,0.01,rbf,30.21013848400071
GLI,10,3779,419,0.9618138424821002,0.9617875056999544,0.9627906976744186,0.9607843137254902,0.9627906976744186,0.9627906976744186,196,8,8,207,0.9560720250375422,1000,0.01,rbf,30.701368673000616
KLU,1,3825,426,0.903755868544601,0.903755868544601,0.92018779342723,0.8873239436619719,0.8909090909090909,0.9053117782909932,189,24,17,196,0.9131935805776934,100,scale,rbf,91.02821821799996
KLU,2,3826,425,0.9364705882352942,0.9364536274249268,0.929245283018868,0.943661971830986,0.9425837320574164,0.9358669833729216,201,12,15,197,0.9129775949038316,1000,0.01,rbf,91.18307894499998
KLU,3,3826,425,0.9129411764705884,0.9129573035698468,0.9198113207547168,0.9061032863849764,0.9069767441860463,0.9133489461358314,193,20,17,195,0.9189725643514276,1000,0.01,rbf,69.70357463599998
KLU,4,3826,425,0.908235294117647,0.908218176986447,0.9009433962264152,0.9154929577464788,0.9138755980861244,0.9073634204275536,195,18,21,191,0.9132168195426024,1000,0.01,rbf,64.45369308099998
KLU,5,3826,425,0.92,0.920021702542298,0.929245283018868,0.9107981220657276,0.9120370370370372,0.9205607476635514,194,19,15,197,0.9124342132243382,1000,0.01,rbf,51.593785819
KLU,6,3826,425,0.92,0.9199884843653114,0.9150943396226416,0.9248826291079812,0.923809523809524,0.919431279620853,197,16,18,194,0.9142625729635148,1000,0.01,rbf,40.01985976699996
KLU,7,3826,425,0.92,0.92003277526796,0.9339622641509434,0.9061032863849764,0.908256880733945,0.9209302325581395,193,20,14,198,0.9126905253373068,1000,0.01,rbf,35.09665473300004
KLU,8,3826,425,0.9058823529411764,0.905837540969085,0.8867924528301887,0.9248826291079812,0.9215686274509804,0.903846153846154,197,16,24,188,0.9140144628381612,1000,0.01,rbf,32.45026918099995
KLU,9,3826,425,0.908235294117647,0.9082735406147576,0.9245283018867924,0.892018779342723,0.8949771689497716,0.9095127610208816,190,23,16,196,0.9161066531789536,1000,0.01,rbf,32.71052758899998
KLU,10,3826,425,0.9152941176470588,0.9153379395872088,0.9339622641509434,0.8967136150234741,0.9,0.9166666666666666,191,22,14,198,0.9134806501442184,1000,0.01,rbf,30.748713072999976
KNK,1,4018,447,0.988814317673378,0.9886377335744424,0.9915611814345991,0.9857142857142858,0.9873949579831932,0.9894736842105264,207,3,2,235,0.9813314971278272,100,0.01,rbf,12.181189584000094
KNK,2,4018,447,0.9821029082774048,0.982579867389994,0.9746835443037974,0.9904761904761904,0.9914163090128756,0.9829787234042552,208,2,6,231,0.980092678750884,1000,0.01,rbf,13.98981933999994
KNK,3,4018,447,0.977628635346756,0.9767329716696804,0.9915611814345991,0.961904761904762,0.9670781893004116,0.9791666666666666,202,8,2,235,0.9795902035954888,100,0.01,rbf,12.284234334999953
KNK,4,4018,447,0.977628635346756,0.9772754671488848,0.9831223628691984,0.9714285714285714,0.9748953974895398,0.9789915966386554,204,6,4,233,0.9808346050297144,1000,0.01,rbf,13.22945521600002
KNK,5,4018,447,0.9843400447427292,0.9838758288125375,0.9915611814345991,0.9761904761904762,0.9791666666666666,0.9853249475890984,205,5,2,235,0.9808346050297144,100,0.01,rbf,12.898898186999986
KNK,6,4019,446,0.9775784753363228,0.9769774011299436,0.9872881355932204,0.9666666666666668,0.9708333333333332,0.9789915966386554,203,7,3,233,0.9815864567437128,1000,0.01,rbf,13.837956885999915
KNK,7,4019,446,0.9798206278026906,0.9793583535108958,0.9872881355932204,0.9714285714285714,0.9748953974895398,0.9810526315789474,204,6,3,233,0.9803451570079776,1000,0.01,rbf,14.923167152000133
KNK,8,4019,446,0.984304932735426,0.9843825665859564,0.9830508474576272,0.9857142857142858,0.9872340425531916,0.9851380042462844,207,3,4,232,0.9805908115283928,100,0.01,rbf,13.390224811000053
KNK,9,4019,446,0.9753363228699552,0.974858757062147,0.9830508474576272,0.9666666666666668,0.9707112970711296,0.9768421052631578,203,7,4,232,0.9795957866527712,100,0.01,rbf,13.268922900000009
KNK,10,4019,446,0.9730941704035876,0.9737893462469732,0.961864406779661,0.9857142857142858,0.9869565217391304,0.9742489270386266,207,3,9,227,0.9803445366682796,1000,0.01,rbf,14.190232063999929
M23K,1,1329,148,0.9324324324324323,0.93375,0.9375,0.93,0.8653846153846154,0.9,93,7,3,45,0.9345408976987924,1000,0.01,rbf,5.369595036999954
M23K,2,1329,148,0.9391891891891893,0.927006530440278,0.8936170212765957,0.9603960396039604,0.9130434782608696,0.9032258064516128,97,4,5,42,0.9367623604465708,100,scale,rbf,5.576256908999994
M23K,3,1329,148,0.9391891891891893,0.9440699389087844,0.9574468085106383,0.9306930693069309,0.8653846153846154,0.9090909090909092,94,7,2,45,0.9345408976987924,1000,0.01,rbf,7.35335520700005
