station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
BAT,7,10,0.01,rbf,0.912,0.0348711915483253,2,0.0151152849197387
BAT,7,10,0.001,rbf,0.8699999999999999,0.0507937003968011,9,0.0192564249038696
BAT,7,100,scale,rbf,0.8939999999999999,0.0410365690573663,7,0.0204523801803588
BAT,7,100,0.01,rbf,0.9,0.0268328157299974,6,0.0151068925857543
BAT,7,100,0.001,rbf,0.918,0.0433128156554154,1,0.0156912803649902
BAT,7,1000,scale,rbf,0.89,0.0402492235949962,8,0.0313591003417968
BAT,7,1000,0.01,rbf,0.904,0.021540659228538,5,0.0311975717544555
BAT,7,1000,0.001,rbf,0.91,0.0286356421265527,3,0.0180562019348144
BAT,8,10,scale,rbf,0.916,0.0195959179422654,2,0.0148159503936767
BAT,8,10,0.01,rbf,0.908,0.027129319932501,6,0.0162986040115356
BAT,8,10,0.001,rbf,0.8859999999999999,0.0400499687890015,8,0.0207502841949462
BAT,8,100,scale,rbf,0.906,0.0269072480941474,7,0.0239039897918701
BAT,8,100,0.01,rbf,0.918,0.0289136645896019,1,0.0229727268218994
BAT,8,100,0.001,rbf,0.912,0.0312409987036266,3,0.0190895318984985
BAT,8,1000,scale,rbf,0.882,0.0302654919008431,9,0.0365957736968994
BAT,8,1000,0.01,rbf,0.91,0.0240831891575845,4,0.0335209369659423
BAT,8,1000,0.001,rbf,0.91,0.0325576411921993,4,0.0152011156082153
BAT,9,10,scale,rbf,0.8960000000000001,0.021540659228538,5,0.0139835119247436
BAT,9,10,0.01,rbf,0.9,0.0219089023002066,2,0.0157153844833374
BAT,9,10,0.001,rbf,0.868,0.044,9,0.0203444004058837
BAT,9,100,scale,rbf,0.8939999999999999,0.0335261092284804,6,0.0197791337966918
BAT,9,100,0.01,rbf,0.898,0.014,3,0.0159789085388183
BAT,9,100,0.001,rbf,0.902,0.027495454169735,1,0.015423583984375
BAT,9,1000,scale,rbf,0.8880000000000001,0.0391918358845308,8,0.0383738040924072
BAT,9,1000,0.01,rbf,0.892,0.016,7,0.0323404073715209
BAT,9,1000,0.001,rbf,0.898,0.020880613017821,3,0.0159511566162109
BAT,10,10,scale,rbf,0.898,0.0351567916624938,5,0.020622968673706
BAT,10,10,0.01,rbf,0.91,0.0483735464897912,3,0.0145365476608276
BAT,10,10,0.001,rbf,0.8880000000000001,0.049152822909778,8,0.0159756422042846
BAT,10,100,scale,rbf,0.91,0.0581377674149945,2,0.0221837997436523
BAT,10,100,0.01,rbf,0.898,0.0433128156554154,5,0.0182296276092529
BAT,10,100,0.001,rbf,0.916,0.0427083130081252,1,0.0127207279205322
BAT,10,1000,scale,rbf,0.89,0.0402492235949962,7,0.035748267173767
BAT,10,1000,0.01,rbf,0.882,0.0575847201955518,9,0.0426899909973144
BAT,10,1000,0.001,rbf,0.91,0.0337638860322682,3,0.0156207561492919
FID,1,10,scale,rbf,0.9606777408637874,0.0124597393719586,5,0.3023466110229492
FID,1,10,0.01,rbf,0.9626799557032116,0.0136437874780824,3,0.4153666257858276
FID,1,10,0.001,rbf,0.9460221483942414,0.0142633559272771,9,0.5139191389083863
FID,1,100,scale,rbf,0.9596810631229238,0.0120565306381428,6,0.3075320959091187
FID,1,100,0.01,rbf,0.964344407530454,0.0158516562399442,1,0.3004652738571167
FID,1,100,0.001,rbf,0.956016611295681,0.012175696789612,7,0.3458136796951294
FID,1,1000,scale,rbf,0.956015503875969,0.0090386533162195,8,0.9151739597320556
FID,1,1000,0.01,rbf,0.9640099667774088,0.0142870744156657,2,0.5812958478927612
FID,1,1000,0.001,rbf,0.9610155038759692,0.0153437643327837,4,0.410140323638916
FID,2,10,scale,rbf,0.960014396456257,0.0135775672854518,4,0.2379643201828002
FID,2,10,0.01,rbf,0.9586788482834994,0.0111805151717363,7,0.2620589971542358
FID,2,10,0.001,rbf,0.945014396456257,0.0125964723620373,9,0.4430442810058593
FID,2,100,scale,rbf,0.9586832779623476,0.0122085170116805,6,0.3533874273300171
FID,2,100,0.01,rbf,0.9626810631229236,0.0111278527958673,1,0.1838029623031616
FID,2,100,0.001,rbf,0.9543455149501664,0.0122155885911849,8,0.252899432182312
FID,2,1000,scale,rbf,0.9596788482834996,0.0123370084904721,5,1.0145238637924194
FID,2,1000,0.01,rbf,0.960346622369878,0.0088752750834276,3,0.4735298156738281
FID,2,1000,0.001,rbf,0.9606788482834994,0.0108351113276486,2,0.3928387403488159
FID,3,10,scale,rbf,0.9606810631229236,0.010408224541965,6,0.2779755830764771
FID,3,10,0.01,rbf,0.9610121816168328,0.0118393113897062,5,0.3935376167297363
FID,3,10,0.001,rbf,0.946688815060908,0.012086374881764,9,0.4810216903686523
FID,3,100,scale,rbf,0.9613488372093024,0.0101203146187603,4,0.344312047958374
FID,3,100,0.01,rbf,0.9620132890365448,0.0116596926734906,2,0.244230031967163
FID,3,100,0.001,rbf,0.9556810631229236,0.0122984909828934,8,0.1853921890258789
FID,3,1000,scale,rbf,0.9603499446290144,0.0113819186517232,7,0.834995436668396
FID,3,1000,0.01,rbf,0.96334772978959,0.0089336393799773,1,0.4833529472351074
FID,3,1000,0.001,rbf,0.9616788482834996,0.0114764370595672,3,0.3010298013687134
FID,4,10,scale,rbf,0.9623455149501664,0.0112607049751577,3,0.2885809183120728
FID,4,10,0.01,rbf,0.9606788482834996,0.0091687678642883,4,0.2485385417938232
FID,4,10,0.001,rbf,0.9466821705426356,0.0090791576646738,9,0.4864529609680176
FID,4,100,scale,rbf,0.958014396456257,0.0117552412562983,6,0.237051510810852
FID,4,100,0.01,rbf,0.962346622369878,0.0116450092550079,2,0.2236988067626953
FID,4,100,0.001,rbf,0.956345514950166,0.0097213790942998,7,0.2568462371826172
FID,4,1000,scale,rbf,0.9560121816168328,0.0113412716960704,8,0.8012481451034545
FID,4,1000,0.01,rbf,0.9630121816168328,0.0126010806830908,1,0.441184663772583
FID,4,1000,0.001,rbf,0.960345514950166,0.0079559190197812,5,0.240776252746582
FID,5,10,scale,rbf,0.9653466223698782,0.0080466594654039,1,0.2595899343490601
FID,5,10,0.01,rbf,0.9643477297895904,0.0072955852474913,3,0.2553275346755981
FID,5,10,0.001,rbf,0.9473510520487264,0.0106239394534658,9,0.3269902467727661
FID,5,100,scale,rbf,0.9620143964562567,0.0090837750846312,5,0.251669692993164
FID,5,100,0.01,rbf,0.9646821705426356,0.008170792694348,2,0.1528199434280395
FID,5,100,0.001,rbf,0.9563477297895904,0.0083606430283781,8,0.2241357564926147
FID,5,1000,scale,rbf,0.9570121816168328,0.0110070720905234,7,0.604400897026062
FID,5,1000,0.01,rbf,0.9640143964562568,0.0096270247836682,4,0.3326518297195434
FID,5,1000,0.001,rbf,0.9613477297895902,0.0092063232229484,6,0.3043102264404297
FID,6,10,scale,rbf,0.9586954595791806,0.0049761724545563,5,0.1729529619216919
FID,6,10,0.01,rbf,0.9603565891472868,0.0079647821407851,4,0.2740716457366943
FID,6,10,0.001,rbf,0.946031007751938,0.0124727598147158,9,0.6391239404678345
FID,6,100,scale,rbf,0.958359911406423,0.0077838300619956,6,0.4746129751205444
FID,6,100,0.01,rbf,0.9623599114064232,0.0057713514833162,2,0.3276915788650513
FID,6,100,0.001,rbf,0.9553599114064232,0.0086039912464599,8,0.3654201745986938
FID,6,1000,scale,rbf,0.9560254706533776,0.0089338485868578,7,0.9437560319900512
FID,6,1000,0.01,rbf,0.9646910299003324,0.0058052082094181,1,0.4835906982421875
FID,6,1000,0.001,rbf,0.9623588039867108,0.0057800859269443,3,0.3453110218048095
FID,7,10,scale,rbf,0.9600276854928016,0.01191437892221,4,0.1435603857040405
FID,7,10,0.01,rbf,0.9613621262458472,0.0117298029729626,3,0.1698706150054931
FID,7,10,0.001,rbf,0.9457076411960132,0.013394951859446,9,0.2971119880676269
FID,7,100,scale,rbf,0.9570343300110744,0.0132483696696607,6,0.1951524496078491
FID,7,100,0.01,rbf,0.963361018826135,0.0119946716846887,1,0.1633694648742675
FID,7,100,0.001,rbf,0.9553654485049836,0.0116391626691628,7,0.2103928089141845
FID,7,1000,scale,rbf,0.9510354374307862,0.0127146649764897,8,0.6219878196716309
FID,7,1000,0.01,rbf,0.9616943521594684,0.013665365402259,2,0.3032353162765503
FID,7,1000,0.001,rbf,0.9586965669988926,0.0124634822458073,5,0.2167059421539306
